ncbi,uniprot,protein.protein_id,protein.name,domain,domains.domains_id,length,genus,gene,gene_begin,gene_end,cluster,species,superkingdom,kingdom,phylum,score,nbdomain
KAF8249045,,54093,hypothetical protein K440DRAFT_641737,PropLec6A_RSL_AAL,25887,394,Wilcoxina Chin S,MU122118.1,658772,660069,,Wilcoxina mikolae CBS 42385,Eukaryota,Fungi,Ascomycota,0.235,2
KAF8326930,,3297,Psathyrella Velutina lectin At 1.5a resolution,PropLec7B_PVL,25893,403,Amanita,WION01000194.1,26737,28007,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.744,8
KAF8330458,,3300,"hypothetical protein F5887DRAFT_845121, partial",PropLec7B_PVL,25894,251,Amanita,WION01000128.1,34696,35448,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.656,4
KAF8334468,,3295,tectonin 1,PropLec6B_tectonin,25895,230,Amanita,WION01000083.1,172829,173521,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.629,6
KAF8334469,,3302,tectonin 2,PropLec6B_tectonin,25896,231,Amanita,WION01000083.1,174416,175111,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.576,6
KAF8338688,,3296,tectonin 2,PropLec6B_tectonin,25897,226,Amanita,WION01000050.1,206609,207289,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.62,6
KAF8346440,,3298,lectin PVL,PropLec7B_PVL,25901,410,Amanita,WION01000014.1,509747,511121,,Amanita rubescens,Eukaryota,Fungi,Basidiomycota,0.811,8
KAF8416528,,52716,hypothetical protein EV426DRAFT_721785,PropLec6A_RSL_AAL,25902,365,Tirmania Chatin,WHUY01000075.1,166157,167719,,Tirmania nivea,Eukaryota,Fungi,Ascomycota,0.156,4
KAF8427766,,52717,lectin,PropLec6A_RSL_AAL,25904,289,Tirmania Chatin,WHUY01000006.1,529629,530641,,Tirmania nivea,Eukaryota,Fungi,Ascomycota,0.396,6
KAF8428097,,52718,hypothetical protein EV426DRAFT_586427,PropLec6A_RSL_AAL,25905,363,Tirmania Chatin,WHUY01000005.1,158105,159417,,Tirmania nivea,Eukaryota,Fungi,Ascomycota,0.219,3
KAF8451565,,52397,hypothetical protein BGX38DRAFT_1142100,PropLec6A_RSL_AAL,25907,359,Terfezia,WHUX01000032.1,386240,387578,,Terfezia claveryi,Eukaryota,Fungi,Ascomycota,0.22,3
KAF8451750,,15572,fucose-specific lectin,PropLec6A_RSL_AAL,25908,306,Kalaharituber,WHUZ01000113.1,140332,141589,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.181,5
KAF8453655,,52396,fucose-specific lectin,PropLec6A_RSL_AAL,25909,291,Terfezia,WHUX01000024.1,262972,264002,,Terfezia claveryi,Eukaryota,Fungi,Ascomycota,0.407,6
KAF8453960,,52395,fungal fucose-specific lectin-domain-containing protein,PropLec6A_RSL_AAL,25910,293,Terfezia,WHUX01000022.1,258579,259702,,Terfezia claveryi,Eukaryota,Fungi,Ascomycota,0.349,4
KAF8457844,,15564,fucose-specific lectin,PropLec6A_RSL_AAL,25911,287,Kalaharituber,WHUZ01000074.1,35154,36157,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.422,6
KAF8457851,,15566,fucose-specific lectin,PropLec6A_RSL_AAL,25912,296,Kalaharituber,WHUZ01000074.1,89140,90301,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.357,6
KAF8457853,,15565,"fucose-specific lectin, partial",PropLec6A_RSL_AAL,25913,287,Kalaharituber,WHUZ01000074.1,104715,105756,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.386,6
KAF8457854,,15570,fucose-specific lectin,PropLec6A_RSL_AAL,25914,287,Kalaharituber,WHUZ01000074.1,108306,109344,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.337,6
KAF8457977,,52398,hypothetical protein BGX38DRAFT_1265279,PropLec6A_RSL_AAL,25915,338,Terfezia,WHUX01000005.1,106437,108014,,Terfezia claveryi,Eukaryota,Fungi,Ascomycota,0.152,3
KAF8459737,,15569,fucose-specific lectin,PropLec6A_RSL_AAL,25916,296,Kalaharituber,WHUZ01000064.1,68414,69493,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.327,4
KAF8459743,,15567,fucose-specific lectin,PropLec6A_RSL_AAL,25917,287,Kalaharituber,WHUZ01000064.1,98891,99895,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.42,6
KAF8460740,,15571,hypothetical protein BDZ91DRAFT_832038,PropLec6A_RSL_AAL,25918,335,Kalaharituber,WHUZ01000052.1,196467,197679,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.409,1
KAF8462115,,15568,hypothetical protein BDZ91DRAFT_735135,PropLec6A_RSL_AAL,25919,352,Kalaharituber,WHUZ01000041.1,83721,85007,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.208,3
KAF8469765,,15563,fucose-specific lectin,PropLec6A_RSL_AAL,25920,291,Kalaharituber,WHUZ01000011.1,1284184,1285195,,Kalaharituber pfeilii,Eukaryota,Fungi,Ascomycota,0.391,6
KAF8484198,,13348,hypothetical protein JB92DRAFT_3030700,PropLec7A_PLL,25921,266,Gautieria,WHVA01000507.1,52244,53104,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.303,3
KAF8508473,,13346,hypothetical protein JB92DRAFT_585080,PropLec7A_PLL,25922,328,Gautieria,WHVA01000199.1,45016,46052,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.214,4
KAF8508481,,13349,hypothetical protein JB92DRAFT_583484,PropLec7A_PLL,25923,327,Gautieria,WHVA01000199.1,56905,57938,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.199,4
KAF8511401,,15315,PLC-like phosphodiesterase,PropLec6A_RSL_AAL,25924,604,Hysterangium,WHVD01000120.1,23716,25667,,Hysterangium stoloniferum,Eukaryota,Fungi,Basidiomycota,0.327,6
KAF8513205,,13344,hypothetical protein JB92DRAFT_233821,PropLec7A_PLL,25925,324,Gautieria,WHVA01000128.1,60289,61316,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.282,5
KAF8513207,,13345,hypothetical protein JB92DRAFT_2830460,PropLec7A_PLL,25926,292,Gautieria,WHVA01000128.1,62467,63499,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.254,4
KAF8520554,,13347,hypothetical protein JB92DRAFT_2895006,PropLec7A_PLL,25929,262,Gautieria,WHVA01000067.1,172720,173508,,Gautieria morchelliformis,Eukaryota,Fungi,Basidiomycota,0.287,2
KAF8533505,,52907,fucose-specific lectin,PropLec6A_RSL_AAL,25932,287,Trichophaea Boud,WHVE01000706.1,846,1764,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.216,6
KAF8536703,,52916,hypothetical protein BDD12DRAFT_807559,PropLec6A_RSL_AAL,25933,452,Trichophaea Boud,WHVE01000313.1,39836,42081,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.181,4
KAF8536954,,52911,fungal fucose-specific lectin-domain-containing protein,PropLec6A_RSL_AAL,25934,355,Trichophaea Boud,WHVE01000290.1,69406,70534,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.336,6
KAF8538044,,52908,fucose-specific lectin,PropLec6A_RSL_AAL,25935,303,Trichophaea Boud,WHVE01000222.1,43012,43972,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.256,6
KAF8538509,,52913,hypothetical protein BDD12DRAFT_981510,PropLec6A_RSL_AAL,25936,492,Trichophaea Boud,WHVE01000195.1,109166,110802,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.185,2
KAF8539582,,52909,Matrixin-domain-containing protein,PropLec7A_PLL,25937,480,Trichophaea Boud,WHVE01000131.1,39934,41625,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.29,4
KAF8540729,,52912,hypothetical protein BDD12DRAFT_879970,PropLec6A_RSL_AAL,25938,79,Trichophaea Boud,WHVE01000098.1,93021,93290,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.349,1
KAF8541990,,52914,hypothetical protein BDD12DRAFT_877402,PropLec6A_RSL_AAL,25939,226,Trichophaea Boud,WHVE01000060.1,233729,234409,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.311,3
KAF8543338,,52915,hypothetical protein BDD12DRAFT_802151,PropLec6A_RSL_AAL,25940,310,Trichophaea Boud,WHVE01000027.1,176363,177390,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.196,2
KAF8543736,,52910,hypothetical protein BDD12DRAFT_874204,PropLec6A_RSL_AAL,25941,436,Trichophaea Boud,WHVE01000021.1,398024,399508,,Trichophaea hybrida,Eukaryota,Fungi,Ascomycota,0.249,5
KAF8545844,,54303,"tectonin 1, partial",PropLec6B_tectonin,25942,192,Xerocomus,MU131715.1,3168,3743,,Xerocomus badius,Eukaryota,Fungi,Basidiomycota,0.618,5
KAF8548369,,54302,tectonin 2,PropLec6B_tectonin,25944,225,Xerocomus,MU131069.1,17758,18435,,Xerocomus badius,Eukaryota,Fungi,Basidiomycota,0.62,6
KAF8579141,,31666,fucose-specific lectin,PropLec6A_RSL_AAL,25947,564,Ramaria,MU134502.1,55060,58100,,Ramaria rubella,Eukaryota,Fungi,Basidiomycota,0.184,4
KAF8579141,,31666,fucose-specific lectin,PropLec7A_PLL,25948,564,Ramaria,MU134502.1,55060,58100,,Ramaria rubella,Eukaryota,Fungi,Basidiomycota,0.258,10
KAF8581582,,31670,hypothetical protein K439DRAFT_1618949,PropLec6A_RSL_AAL,25949,280,Ramaria,MU134434.1,199028,199870,,Ramaria rubella,Eukaryota,Fungi,Basidiomycota,0.25,3
KAF8582483,,31667,"fucose-specific lectin, partial",PropLec7A_PLL,25950,302,Ramaria,MU134414.1,145196,146101,,Ramaria rubella,Eukaryota,Fungi,Basidiomycota,0.274,4
KAF8639239,,53903,hypothetical protein AX16_010361,PropLec7B_PVL,25956,220,Volvariella,JNHZ02000833.1,2407,3131,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.58,4
KAF8643038,,53909,hypothetical protein AX16_009239,PropLec7B_PVL,25957,270,Volvariella,JNHZ02000650.1,360,1172,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.641,6
KAF8645576,,53905,hypothetical protein AX16_007729,PropLec7B_PVL,25958,422,Volvariella,JNHZ02000473.1,7308,8576,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.732,8
KAF8646474,,53914,hypothetical protein AX16_007197,PropLec7B_PVL,25960,631,Volvariella,JNHZ02000416.1,4641,6609,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.744,8
KAF8646478,,53900,hypothetical protein AX16_007200,PropLec7B_PVL,25961,400,Volvariella,JNHZ02000416.1,13849,15110,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.731,8
KAF8647330,,53907,hypothetical protein AX16_006792,PropLec6A_RSL_AAL,25963,813,Volvariella,JNHZ02000040.1,140702,144029,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.22,4
KAF8653553,,53915,hypothetical protein AX16_003890,PropLec7B_PVL,25964,390,Volvariella,JNHZ02000204.1,15523,16784,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.747,8
KAF8653555,,53912,hypothetical protein AX16_003892,PropLec7B_PVL,25965,351,Volvariella,JNHZ02000204.1,43220,44480,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.648,8
KAF8654628,,53911,hypothetical protein AX16_003509,PropLec7B_PVL,25966,420,Volvariella,JNHZ02000195.1,39808,41070,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.719,8
KAF8655994,,53913,hypothetical protein AX16_002814,PropLec7B_PVL,25967,427,Volvariella,JNHZ02000167.1,3026,4309,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.748,8
KAF8656001,,53901,hypothetical protein AX16_002821,PropLec7B_PVL,25968,404,Volvariella,JNHZ02000167.1,5324,6606,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.722,8
KAF8656005,,53902,hypothetical protein AX16_002825,PropLec7B_PVL,25969,425,Volvariella,JNHZ02000167.1,1270,2547,,Volvariella volvacea WC 439,Eukaryota,Fungi,Basidiomycota,0.742,8
KAF8667191,,3289,hypothetical protein AX14_006372,PropLec6B_tectonin,25973,214,Amanita,JNHV02002776.1,563,1424,,Amanita brunnescens Koide BX4,Eukaryota,Fungi,Basidiomycota,0.332,6
KAF8697719,,3282,hypothetical protein AX14_001270,PropLec7B_PVL,25978,1194,Amanita,JNHV02001209.1,161,4191,,Amanita brunnescens Koide BX4,Eukaryota,Fungi,Basidiomycota,0.59,6
KAF8723464,,3284,hypothetical protein AX14_009247,PropLec6B_tectonin,25984,212,Amanita,JNHV02000418.1,10665,11520,,Amanita brunnescens Koide BX4,Eukaryota,Fungi,Basidiomycota,0.327,5
KAF8800971,,10671,hypothetical protein BYT27DRAFT_7198749,PropLec6A_RSL_AAL,25991,164,Cortinarius,MU130578.1,7522,8076,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.135,2
KAF8801587,,10680,hypothetical protein BYT27DRAFT_7198157,PropLec6A_RSL_AAL,25992,481,Cortinarius,MU130569.1,344950,346780,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.333,6
KAF8802961,,10668,tectonin 1,PropLec6B_tectonin,25993,233,Cortinarius,MU130543.1,118166,120719,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.473,6
KAF8803026,,10674,hypothetical protein BYT27DRAFT_7341110,PropLec6A_RSL_AAL,25994,341,Cortinarius,MU130543.1,334874,336064,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.242,4
KAF8804841,,10681,tectonin 2,PropLec6B_tectonin,25997,228,Cortinarius,MU130494.1,2136,2822,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.597,6
KAF8804975,,10677,hypothetical protein BYT27DRAFT_7258724,PropLec7B_PVL,25998,1070,Cortinarius,MU130492.1,183219,186898,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.636,6
KAF8805060,,10678,hypothetical protein BYT27DRAFT_7339946,PropLec6A_RSL_AAL,25999,164,Cortinarius,MU130491.1,170653,171207,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.17,3
KAF8805629,,10672,hypothetical protein BYT27DRAFT_7243203,PropLec6A_RSL_AAL,26000,170,Cortinarius,MU130443.1,67,1002,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.179,2
KAF8805630,,10667,hypothetical protein BYT27DRAFT_7339616,PropLec6A_RSL_AAL,26001,167,Cortinarius,MU130443.1,1451,3410,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.198,1
KAF8805632,,10663,hypothetical protein BYT27DRAFT_7169037,PropLec6A_RSL_AAL,26002,163,Cortinarius,MU130443.1,6925,7476,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.172,3
KAF8806158,,10675,hypothetical protein BYT27DRAFT_7339353,PropLec7B_PVL,26003,654,Cortinarius,MU130382.1,581265,583775,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.718,8
KAF8806365,,10670,hypothetical protein BYT27DRAFT_7190920,PropLec6A_RSL_AAL,26004,164,Cortinarius,MU130381.1,5979,6533,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.132,2
KAF8808316,,10673,tectonin 2,PropLec6B_tectonin,26005,219,Cortinarius,MU130374.1,43664,44355,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.586,5
KAF8810224,,10679,lectin PVL,PropLec7B_PVL,26006,405,Cortinarius,MU130357.1,54026,55293,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.792,8
KAF8811507,,10676,"hypothetical protein BYT27DRAFT_7276963, partial",PropLec6A_RSL_AAL,26009,100,Cortinarius,MU130286.1,3997,4360,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.219,1
KAF8814740,,10665,hypothetical protein BYT27DRAFT_7156472,PropLec7B_PVL,26011,513,Cortinarius,MU130073.1,341056,342849,,Cortinarius glaucopus,Eukaryota,Fungi,Basidiomycota,0.774,8
KAF8851873,,92,carbohydrate-binding protein,PropLec7A_PLL,26012,323,Acephala,MU119368.1,26747,28203,,Acephala macrosclerotiorum,Eukaryota,Fungi,Ascomycota,0.478,6
KAF8852319,,93,hypothetical protein BDZ45DRAFT_695169,PropLec6A_RSL_AAL,26013,420,Acephala,MU119357.1,54820,56343,,Acephala macrosclerotiorum,Eukaryota,Fungi,Ascomycota,0.154,2
KAF8860191,,90,hypothetical protein BDZ45DRAFT_323105,PropLec6A_RSL_AAL,26014,136,Acephala,MU119239.1,118609,119159,,Acephala macrosclerotiorum,Eukaryota,Fungi,Ascomycota,0.284,2
KAF8866316,,91,fungal fucose-specific lectin,PropLec6A_RSL_AAL,26015,302,Acephala,MU119205.1,723615,724751,,Acephala macrosclerotiorum,Eukaryota,Fungi,Ascomycota,0.34,6
KAF8871739,,14135,hypothetical protein CPB84DRAFT_1800513,PropLec7B_PVL,26016,460,Gymnopilus,JADNYJ010000295.1,27766,29469,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.552,8
KAF8871740,,14134,hypothetical protein CPB84DRAFT_1800518,PropLec7B_PVL,26017,630,Gymnopilus,JADNYJ010000295.1,30579,32915,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.664,7
KAF8871742,,14129,hypothetical protein CPB84DRAFT_1800521,PropLec7B_PVL,26018,685,Gymnopilus,JADNYJ010000295.1,34730,37299,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.74,7
KAF8872309,,15379,hypothetical protein BD779DRAFT_1679797,PropLec6A_RSL_AAL,26019,195,Infundibulicybe,JADNYI010000195.1,42646,43345,,Infundibulicybe gibba,Eukaryota,Fungi,Basidiomycota,0.253,2
KAF8876434,,14132,hypothetical protein CPB84DRAFT_1795817,PropLec7B_PVL,26020,476,Gymnopilus,JADNYJ010000182.1,45541,47562,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.446,3
KAF8876438,,14131,hypothetical protein CPB84DRAFT_1795830,PropLec7B_PVL,26021,565,Gymnopilus,JADNYJ010000182.1,56723,58718,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.402,6
KAF8877729,,14128,"hypothetical protein CPB84DRAFT_1794683, partial",PropLec7B_PVL,26022,325,Gymnopilus,JADNYJ010000166.1,13401,14532,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.563,7
KAF8877740,,14130,hypothetical protein CPB84DRAFT_1794703,PropLec7B_PVL,26023,543,Gymnopilus,JADNYJ010000166.1,32935,34915,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.714,7
KAF8896004,,15381,hypothetical protein BD779DRAFT_1466044,PropLec6A_RSL_AAL,26024,190,Infundibulicybe,JADNYI010000003.1,113719,114394,,Infundibulicybe gibba,Eukaryota,Fungi,Basidiomycota,0.267,2
KAF8896007,,15382,hypothetical protein BD779DRAFT_1782262,PropLec6A_RSL_AAL,26025,195,Infundibulicybe,JADNYI010000003.1,122202,122904,,Infundibulicybe gibba,Eukaryota,Fungi,Basidiomycota,0.142,2
KAF8896012,,15380,hypothetical protein BD779DRAFT_1667887,PropLec6A_RSL_AAL,26026,145,Infundibulicybe,JADNYI010000003.1,142192,142679,,Infundibulicybe gibba,Eukaryota,Fungi,Basidiomycota,0.154,3
KAF8896013,,15377,hypothetical protein BD779DRAFT_1493456,PropLec6A_RSL_AAL,26027,161,Infundibulicybe,JADNYI010000003.1,145259,145794,,Infundibulicybe gibba,Eukaryota,Fungi,Basidiomycota,0.228,2
KAF8905765,,14133,hypothetical protein CPB84DRAFT_1844767,PropLec7B_PVL,26029,570,Gymnopilus,JADNYJ010000021.1,138131,140133,,Gymnopilus junonius,Eukaryota,Fungi,Basidiomycota,0.703,7
KAF8956379,,12852,hypothetical protein BDZ97DRAFT_1763872,PropLec6A_RSL_AAL,26038,110,Flammula,JADNRV010000134.1,116916,117311,,Flammula alnicola,Eukaryota,Fungi,Basidiomycota,0.173,2
KAF8957594,,12853,hypothetical protein BDZ97DRAFT_1924475,PropLec6A_RSL_AAL,26039,164,Flammula,JADNRV010000112.1,69934,70492,,Flammula alnicola,Eukaryota,Fungi,Basidiomycota,0.185,3
KAF8957614,,12855,hypothetical protein BDZ97DRAFT_1669767,PropLec6A_RSL_AAL,26040,161,Flammula,JADNRV010000112.1,113311,113868,,Flammula alnicola,Eukaryota,Fungi,Basidiomycota,0.186,3
KAF9047923,,28549,tectonin 2,PropLec6B_tectonin,26044,226,Panaeolus,JADNRZ010000008.1,2002236,2002916,,Panaeolus papilionaceus,Eukaryota,Fungi,Basidiomycota,0.599,6
KAF9053443,,28548,tectonin 2,PropLec6B_tectonin,26047,226,Panaeolus,JADNRZ010000004.1,2363914,2364594,,Panaeolus papilionaceus,Eukaryota,Fungi,Basidiomycota,0.597,6
KAF9254405,,19165,tectonin 2,PropLec6B_tectonin,26064,214,Marasmius,MU128163.1,3178,3876,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.518,5
KAF9256136,,19159,hypothetical protein L218DRAFT_1007761,PropLec6A_RSL_AAL,26066,131,Marasmius,MU127965.1,34546,35020,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.271,2
KAF9256139,,19163,hypothetical protein L218DRAFT_950233,PropLec6A_RSL_AAL,26067,319,Marasmius,MU127965.1,61249,62323,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.256,6
KAF9262025,,19164,hypothetical protein L218DRAFT_945565,PropLec6B_tectonin,26074,206,Marasmius,MU127816.1,111295,111969,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.441,6
KAF9262026,,19168,hypothetical protein L218DRAFT_1043301,PropLec6B_tectonin,26075,231,Marasmius,MU127816.1,113842,114537,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.567,6
KAF9262027,,19176,hypothetical protein L218DRAFT_988522,PropLec6B_tectonin,26076,292,Marasmius,MU127816.1,117937,119246,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.552,5
KAF9262031,,19171,tectonin 1,PropLec6B_tectonin,26077,224,Marasmius,MU127816.1,131122,131796,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.558,6
KAF9266392,,19158,kinase-like protein,PropLec6A_RSL_AAL,26083,744,Marasmius,MU127794.1,134214,137017,,Marasmius fiardii PR91,Eukaryota,Fungi,Basidiomycota,0.16,5
KAF9534930,,10800,hypothetical protein CPB83DRAFT_222362,PropLec6A_RSL_AAL,26161,474,Crepidotus,MU157825.1,846972,848557,,Crepidotus variabilis,Eukaryota,Fungi,Basidiomycota,0.375,6
KAF9635050,,17542,Fungal fucose-specific lectin,PropLec6A_RSL_AAL,26162,475,Lasiodiplodia,KZ107828.1,535452,537181,,Lasiodiplodia theobromae,Eukaryota,Fungi,Ascomycota,0.153,2
KAF9698198,,5158,hypothetical protein EKO04_003926,PropLec7A_PLL,26167,203,Ascochyta,RZGK01000006.1,2051076,2051687,,Ascochyta lentis,Eukaryota,Fungi,Ascomycota,0.231,4
KAF9778031,,52556,"hypothetical protein BJ322DRAFT_1094481, partial",PropLec6A_RSL_AAL,26168,295,Thelephora,WIUZ02000025.1,202661,203709,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.309,4
KAF9778033,,52552,hypothetical protein BJ322DRAFT_1214931,PropLec6A_RSL_AAL,26169,301,Thelephora,WIUZ02000025.1,207892,208962,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.278,4
KAF9778040,,52554,hypothetical protein BJ322DRAFT_1094505,PropLec6A_RSL_AAL,26170,313,Thelephora,WIUZ02000025.1,222239,223344,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.354,4
KAF9778045,,52553,hypothetical protein BJ322DRAFT_1222067,PropLec6A_RSL_AAL,26171,307,Thelephora,WIUZ02000025.1,235921,237009,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.229,4
KAF9783828,,52551,fucose-specific lectin,PropLec6A_RSL_AAL,26172,263,Thelephora,WIUZ02000009.1,525838,526847,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.323,4
KAF9783854,,52555,hypothetical protein BJ322DRAFT_883240,PropLec6A_RSL_AAL,26173,610,Thelephora,WIUZ02000009.1,602873,605201,,Thelephora terrestris,Eukaryota,Fungi,Basidiomycota,0.297,2
KAG0136469,,53007,"hypothetical protein HOY82DRAFT_478913, partial",PropLec6A_RSL_AAL,26224,354,Tuber,JACCEH010000013.1,397217,398538,,Tuber indicum,Eukaryota,Fungi,Ascomycota,0.258,3
KAG0640183,,53004,hypothetical protein HOY80DRAFT_1000403,PropLec6A_RSL_AAL,26285,343,Tuber,JACCEG010000113.1,255531,256646,,Tuber brumale,Eukaryota,Fungi,Ascomycota,0.239,4
KAG0641263,,53006,hypothetical protein HOY80DRAFT_883424,PropLec6A_RSL_AAL,26286,293,Tuber,JACCEG010000081.1,127959,129066,,Tuber brumale,Eukaryota,Fungi,Ascomycota,0.249,4
KAG0642285,,53005,hypothetical protein HOY80DRAFT_1134625,PropLec6A_RSL_AAL,26287,470,Tuber,JACCEG010000060.1,228455,230178,,Tuber brumale,Eukaryota,Fungi,Ascomycota,0.244,4
KAG0703804,,51988,hypothetical protein DFH29DRAFT_998241,PropLec6A_RSL_AAL,26288,173,Suillus,JABCPV010000039.1,190674,191258,,Suillus ampliporus,Eukaryota,Fungi,Basidiomycota,0.281,2
KAG0703805,,51990,hypothetical protein DFH29DRAFT_419126,PropLec6A_RSL_AAL,26289,170,Suillus,JABCPV010000039.1,193741,194302,,Suillus ampliporus,Eukaryota,Fungi,Basidiomycota,0.228,2
KAG0708518,,51991,hypothetical protein DFH29DRAFT_794890,PropLec6A_RSL_AAL,26291,164,Suillus,JABCPV010000004.1,38549,39110,,Suillus ampliporus,Eukaryota,Fungi,Basidiomycota,0.182,2
KAG0708557,,51993,hypothetical protein DFH29DRAFT_794947,PropLec6A_RSL_AAL,26292,177,Suillus,JABCPV010000004.1,164181,164778,,Suillus ampliporus,Eukaryota,Fungi,Basidiomycota,0.202,3
KAG0708559,,51992,hypothetical protein DFH29DRAFT_423160,PropLec6A_RSL_AAL,26293,234,Suillus,JABCPV010000004.1,167604,168430,,Suillus ampliporus,Eukaryota,Fungi,Basidiomycota,0.23,2
KAG1721695,,52046,hypothetical protein EDB91DRAFT_244736,PropLec6A_RSL_AAL,26366,158,Suillus,JABBWC010000190.1,37618,38153,,Suillus paluster,Eukaryota,Fungi,Basidiomycota,0.2,3
KAG1727447,,52048,"hypothetical protein EDB91DRAFT_1163831, partial",PropLec6A_RSL_AAL,26368,99,Suillus,JABBWC010000094.1,7209,7568,,Suillus paluster,Eukaryota,Fungi,Basidiomycota,0.188,2
KAG1727778,,52047,hypothetical protein EDB91DRAFT_1060953,PropLec6A_RSL_AAL,26369,169,Suillus,JABBWC010000091.1,113935,114510,,Suillus paluster,Eukaryota,Fungi,Basidiomycota,0.377,1
KAG1734585,,52024,hypothetical protein EDB19DRAFT_1141409,PropLec6A_RSL_AAL,26370,175,Suillus,JABBWA010000064.1,53247,53832,,Suillus lakei,Eukaryota,Fungi,Basidiomycota,0.221,2
